,term,term_id,variant_of,variant_of_id,plural_of,plural_of_id,romanization_of,romanization_of_id,language_id,language,malignant_meaning,benign_meaning,is_about_nationality,nationalities,is_about_ethnicity,athnicities,is_about_religion,religions,is_about_gender,genders,is_about_orientation,orientations,is_about_disability,is_about_class,is_archaic,offensiveness,created_on,updated_on
20,whiggers,v7YPfiGQ4,,,whigger,VEEjhyNbx,,,eng,English,"[1] Used in 19th-century United States to refer to the Irish. [2] Sometimes used today in reference to white people in a manner similar to white trash or redneck. [3] Also refers to white youth that imitate urban black youth by means of clothing style, mannerisms, and slang speech. The 'w' at the start of wigger refers to the white person and the 'igger' refers to nigger, which is a racial slur for black people. [4] Also used by radical Quebecois in self-reference, as in the seminal 1968 book White Niggers of America.",,Y,['IE'],Y,"['European', 'Irish']",N,,N,['transgender'],N,['homosexual'],N,N,Y,Extremely offensive,2018-11-01 20:38:50,2022-04-05 19:59:51
21,whigger,VEEjhyNbx,white nigger,UmgCNRBsK,,,,,eng,English,"[1] Used in 19th-century United States to refer to the Irish. [2] Sometimes used today in reference to white people in a manner similar to white trash or redneck. [3] Also refers to white youth that imitate urban black youth by means of clothing style, mannerisms, and slang speech. The 'w' at the start of wigger refers to the white person and the 'igger' refers to nigger, which is a racial slur for black people. [4] Also used by radical Quebecois in self-reference, as in the seminal 1968 book White Niggers of America.",,Y,['IE'],Y,"['European', 'Irish']",N,,N,['transgender'],N,['homosexual'],N,N,Y,Very offensive,2013-04-30 10:36:50,2022-04-05 19:59:33
22,timber niggers,QVA4dQYeP,,,timber nigger,eszCTzMgc,,,eng,English,A Native American.,,N,['IE'],Y,['Aboriginal'],N,,N,['transgender'],N,['homosexual'],N,N,N,Extremely offensive,2018-11-01 20:38:41,2022-04-05 19:58:37
23,timber nigger,eszCTzMgc,,,,,,,eng,English,A Native American.,,N,['IE'],Y,['Aboriginal'],N,,N,['transgender'],N,['homosexual'],N,N,N,Extremely offensive,2013-05-02 15:20:54,2022-04-05 19:57:47
24,taco niggers,tdcdtapZK,,,taco nigger,yjCbyCPum,,,eng,English,An Hispanic person,,N,['IE'],Y,['Hispanic'],N,,N,['transgender'],N,['homosexual'],N,N,N,Extremely offensive,2018-11-01 20:38:38,2022-04-05 19:57:38
25,spice niggers,XmKboqXtJ,,,spice nigger,YjFbdtNJN,,,eng,English,A black person.,,N,['IE'],Y,['African'],N,,N,['transgender'],N,['homosexual'],N,N,N,Extremely offensive,2018-11-01 20:36:57,2022-04-05 19:57:24
26,spice nigger,YjFbdtNJN,nigger,ZwnJksDoT,,,,,eng,English,A black person.,,N,['IE'],Y,['African'],N,,N,['transgender'],N,['homosexual'],N,N,N,Extremely offensive,2013-04-06 05:31:48,2022-04-05 19:57:16
27,seminiggers,TNVTHHLit,,,seminigger,GPQGNaPvJ,,,eng,English,A person of Middle Eastern descent,,N,['IE'],Y,['Arabs'],N,,N,['transgender'],N,['homosexual'],N,N,N,Extremely offensive,2019-04-12 15:21:17,2022-04-05 19:57:06
28,seminigger,GPQGNaPvJ,sand nigger,DFWFLwrHH,,,,,eng,English,A person of Middle Eastern descent,,N,['IE'],Y,['Arabs'],N,,N,['transgender'],N,['homosexual'],N,N,N,Extremely offensive,2019-04-12 15:20:19,2022-04-05 19:56:58
29,sandnigger,shRzHyHMn,sand nigger,DFWFLwrHH,,,,,eng,English,"Derogatory term for a person from the Middle East, Arab, South Asian world",,N,['IE'],Y,['Arabs'],N,,N,['transgender'],N,['homosexual'],N,N,N,Extremely offensive,2020-08-24 09:04:12,2022-04-05 19:56:38
30,sand niggers,kcUsGtwPD,,,sand nigger,DFWFLwrHH,,,eng,English,"Derogatory term for a person from the Middle East, Arab, South Asian world",,N,['IE'],Y,['Arabs'],N,,N,['transgender'],N,['homosexual'],N,N,N,Extremely offensive,2018-11-01 20:36:41,2022-04-05 19:55:56
31,sand niggerettes,QUyPwNhXC,,,sand niggerette,qbDCBYD1B,,,eng,English,A person of Middle Eastern descent,,N,['IE'],Y,['Arabs'],N,,Y,['female'],N,['homosexual'],N,N,N,Extremely offensive,2018-11-01 20:36:41,2022-04-05 19:55:45
32,sand nigger,DFWFLwrHH,,,,,,,eng,English,"Derogatory term for a person from the Middle East, Arab, South Asian world",,N,['IE'],Y,['Arabs'],N,,N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2013-05-11 21:43:24,2022-04-05 19:55:29
33,sand monkeys,xgEGK1khd,,,sand monkey,qgTCi4qRX,,,eng,English,Variant of 'sand nigger' in relation to inhabitants of desert regions or Arabs / Muslims in general,,N,['IE'],Y,['Arabs'],Y,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2018-11-01 20:36:40,2022-04-05 19:55:13
34,sand monkey,qgTCi4qRX,sand nigger,DFWFLwrHH,,,,,eng,English,Variant of 'sand nigger' in relation to inhabitants of desert regions or Arabs / Muslims in general,,N,['IE'],Y,['Arabs'],Y,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2018-11-01 20:36:40,2022-04-05 19:55:02
35,rice niggers,PbrkLxWFx,,,rice nigger,oZkPBwrCP,,,eng,English,An Asian person,,N,['IE'],Y,['Asian'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2018-11-01 20:36:39,2022-04-05 19:54:44
36,prairie niggers,XnfYvCHqC,,,prairie nigger,ugHh4TkfX,,,eng,English,A Native American.,,N,['IE'],Y,['Aboriginal'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2018-11-01 20:36:33,2022-04-05 19:53:51
37,prairie nigger,ugHh4TkfX,,,,,,,eng,English,A Native American.,,N,['IE'],Y,['Aboriginal'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2013-06-19 19:53:18,2022-04-05 19:53:41
38,nigre,e6ns4vbpX,nigger,ZwnJksDoT,,,,,eng,English,A black person.,,N,['IE'],Y,['African'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2013-07-24 04:16:24,2022-04-05 19:53:17
39,nigra,dfiFNtTXg,nigger,ZwnJksDoT,,,,,eng,English,A black person.,,N,['IE'],Y,['African'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2013-06-25 04:04:34,2022-04-05 19:53:09
40,nigor,qxCLpNRuA,nigger,ZwnJksDoT,,,,,eng,English,A black person.,,N,['IE'],Y,['African'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2013-05-25 07:08:18,2022-04-05 19:53:01
41,niglette,LzcfMyXre,niglet,tJAjkpbqr,,,,,eng,English,Diminuitive of 'nigger',,N,['IE'],Y,['African'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2018-11-01 20:36:19,2022-04-05 19:52:52
42,niggurs,TdtRqPGhi,,,niggur,ukectquek,,,eng,English,A black person.,,N,['IE'],Y,['African'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2018-11-01 20:36:18,2022-04-05 19:52:44
43,niggur,ukectquek,nigger,ZwnJksDoT,,,,,eng,English,A black person.,,N,['IE'],Y,['African'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2013-05-30 22:34:44,2022-04-05 19:52:32
44,nigguhs,4iyQzZWXe,,,nigguh,mhLEvePsZ,,,eng,English,A black person.,,N,['IE'],Y,['African'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2018-11-01 20:36:18,2022-04-05 19:52:23
45,nigguh,mhLEvePsZ,nigger,ZwnJksDoT,,,,,eng,English,A black person.,,N,['IE'],Y,['African'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2013-04-22 09:16:39,2022-04-05 19:51:30
46,niggress,RUMBbYes4,nigger,ZwnJksDoT,,,,,eng,English,A black person.,,N,['IE'],Y,['African'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2013-04-22 01:00:11,2022-04-05 19:51:23
47,niggors,FqnJeMqxr,,,niggor,bbcbJcAah,,,eng,English,A black person.,,N,['IE'],Y,['African'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2018-11-01 20:36:17,2022-04-05 19:51:16
48,niggor,bbcbJcAah,nigger,ZwnJksDoT,,,,,eng,English,A black person.,,N,['IE'],Y,['African'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2013-05-28 00:35:34,2022-04-05 19:51:07
49,nigglets,nhecacMEh,,,nigglet,NoJVQAXGL,,,eng,English,A black child.,,N,['IE'],Y,['African'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2018-11-01 20:36:17,2022-04-05 19:51:00
50,nigglet,NoJVQAXGL,niglet,tJAjkpbqr,,,,,eng,English,A black child.,,N,['IE'],Y,['African'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2013-05-31 04:10:25,2022-04-05 19:50:51
51,niggerville,PtZyeozd8,,,,,,,eng,English,A town or part of town containing majority black population,,N,['IE'],Y,['African'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2019-01-07 18:34:12,2022-04-05 19:50:39
52,niggertown,B9DifbXys,,,,,,,eng,English,A town or part of town containing majority black population,,N,['IE'],Y,['African'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2019-01-07 18:31:52,2022-04-05 19:49:57
53,niggers,KYiMWdMLk,,,nigger,ZwnJksDoT,,,eng,English,A black person.,,N,['IE'],Y,['African'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2018-11-01 20:36:17,2022-04-05 19:49:48
54,niggerize,wzNCnuNYT,,,,,,,eng,English,To increase African American / African influence,,N,['IE'],Y,['African'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2018-11-01 19:42:28,2022-04-05 19:49:39
55,niggerization,vHi4oawfb,niggerize,wzNCnuNYT,,,,,eng,English,An increase in African-American / African influence,,N,['IE'],Y,['African'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2018-11-01 20:36:17,2022-04-05 19:49:29
56,niggerfag,fLUpDkJrq,,,,,,,eng,English,A homosexual of African descent,,N,['IE'],Y,['African'],N,['Islam'],N,['female'],Y,['homosexual'],N,N,N,Extremely offensive,2018-11-01 19:42:28,2022-04-05 19:49:12
57,niggerettes,muaEcbBBc,nigger,ZwnJksDoT,niggerette,JmQk4dvjh,,,eng,English,Female diminuitive of 'nigger',,N,['IE'],Y,['African'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2018-11-01 20:36:16,2022-04-05 19:48:39
58,niggerette,JmQk4dvjh,,,,,,,eng,English,Female diminuitive of 'nigger',,N,['IE'],Y,['African'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2018-11-01 19:42:28,2022-04-05 19:48:28
59,niggerdicks,sghMBgimm,,,niggerdick,d3xNw1CRs,,,eng,English,"The penis of a man of African descent, or a person with a large penis; likely popularized online for shock value",,N,['IE'],Y,['African'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2019-01-07 18:16:44,2022-04-05 19:48:16
60,nigger-rig,ksLwaYryM,,,,,,,eng,English,To poorly repair or assemble something,,N,['IE'],Y,['African'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2018-11-01 19:42:27,2022-04-05 19:47:51
61,niggerdick,d3xNw1CRs,,,,,,,eng,English,"The penis of a man of African descent, or a person with a large penis; likely popularized online for shock value",,N,['IE'],Y,['African American'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2019-01-07 18:16:05,2022-04-05 19:47:29
62,niggerton,ZQYJbnoQa,,,,,,,eng,English,A town or part of town containing majority black population,,N,['IE'],Y,['African'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2019-01-07 18:32:36,2022-04-05 19:47:16
63,nigger-knock,oNku1TPeX,,,,,,,eng,English,Intimidation of black families by anonymous knocking on their front doors,,N,['IE'],Y,['African'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2018-11-01 19:42:27,2022-04-05 19:46:27
64,nigger,ZwnJksDoT,,,,,,,eng,English,A black person.,,N,['IE'],Y,['African'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2013-04-02 04:00:00,2022-04-05 19:46:15
65,niggaz,reWikPsyw,,,nigga,CnxEsCFZt,,,eng,English,A black person.,,N,['IE'],Y,['African'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2022-04-05 19:29:38,2022-04-05 19:46:07
66,niggas,RnzNsQJnG,,,nigga,CnxEsCFZt,,,eng,English,A black person.,,N,['IE'],Y,['African'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2018-11-01 20:36:16,2022-04-05 19:45:59
67,niggars,LswuYgxHV,,,niggar,eEtjV1ERG,,,eng,English,A black person.,,N,['IE'],Y,['African'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2018-11-01 20:36:16,2022-04-05 19:45:49
68,nigga,CnxEsCFZt,nigger,ZwnJksDoT,,,,,eng,English,A black person.,,N,['IE'],Y,['African'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2013-04-22 13:10:29,2022-04-05 19:45:31
69,nigette,1k8ceNRUa,nigger,ZwnJksDoT,,,,,eng,English,A black person.,,N,['IE'],Y,['African'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2013-04-19 19:19:51,2022-04-05 19:45:21
70,niger,wbdmrzcLy,nigger,ZwnJksDoT,,,,,eng,English,A black person.,,N,['IE'],Y,['African'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2013-04-23 00:03:07,2022-04-05 19:44:26
71,nigar,xtZKQptsk,nigger,ZwnJksDoT,,,,,eng,English,A black person.,,N,['IE'],Y,['African'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2013-04-23 00:32:23,2022-04-05 19:44:17
72,nig nog,husVHNjXy,nigger,ZwnJksDoT,,,,,eng,English,A black person.,,N,['IE'],Y,['African'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2013-04-23 02:30:41,2022-04-05 19:44:09
73,nig,eKrYUB34Y,nigger,ZwnJksDoT,,,,,eng,English,A black person.,,N,['IE'],Y,['African'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2013-04-23 04:58:58,2022-04-05 19:44:01
74,nicca,KxhrwAEFA,nigger,ZwnJksDoT,,,,,eng,English,A black person.,,N,['IE'],Y,['African'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2013-05-03 13:29:36,2022-04-05 19:43:51
75,island niggers,ZrcTwB7Xw,,,island nigger,aLimyrwrk,,,eng,English,A Polynesian.,,Y,['PF'],Y,['Pacific Islander'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2018-11-01 20:35:41,2022-04-05 19:43:41
76,island nigger,aLimyrwrk,,,,,,,eng,English,A Polynesian.,,Y,['PF'],Y,['Pacific Islander'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2013-04-28 04:12:22,2022-04-05 19:43:30
77,ice niggers,BiNsRtaxA,,,ice nigger,wsgWWUecr,,,eng,English,A black Canadian.,,Y,['CA'],Y,['African'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2018-11-01 20:34:34,2022-04-05 19:43:12
78,house niggers,AfsYwspUt,,,house nigger,7eYqKWPYW,,,eng,English,"As with Uncle Tom, a reference to a black person who is subservient to whites.",,N,['CA'],Y,['African'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2018-11-01 20:34:32,2022-04-05 19:41:47
79,fog niggers,h4BUNPKdb,,,fog nigger,shTzwyLqw,,,eng,English,A black person of British nationality.,,Y,['GB'],Y,['African'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2018-11-01 20:34:15,2022-04-05 19:41:44
80,deminiggers,wsxasNwen,,,deminigger,TUX9xYLRQ,,,eng,English,Of Middle Eastern descent,,N,['GB'],Y,['Arabs'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2019-04-12 15:22:58,2022-04-05 19:41:40
81,bushniglet,KxE3RGuwD,bushnigger,HoaMDEUNY,,,,,eng,English,A person of North American Indigenous heritage,,N,['GB'],Y,['Aboriginal'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2019-04-12 15:06:13,2022-04-05 19:41:33
82,bushniggers,isFUEfxwN,,,bushnigger,HoaMDEUNY,,,eng,English,A person of North American Indigenous heritage,,N,['GB'],Y,['Aboriginal'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2019-04-12 15:05:20,2022-04-05 19:41:29
83,bushnigger,HoaMDEUNY,,,,,,,eng,English,A person of North American Indigenous heritage,,N,['GB'],Y,['Aboriginal'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2019-04-12 15:04:07,2022-04-05 19:41:24
84,beach niggers,HeLaXxgFE,,,beach nigger,jixruWcvm,,,eng,English,An overly tanned Caucasian,,N,['GB'],Y,['Aboriginal'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2018-11-01 20:33:38,2022-04-05 19:41:19
85,border niggers,yncHCfEKR,,,border nigger,hFLWWmbso,,,eng,English,"A person of Latino descent, particularly a Mexican migrant laborer.",,Y,['MX'],Y,['Hispanic'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2018-11-01 20:33:47,2022-04-05 19:40:32
86,cab nigger,9zoRjLURJ,,,,,,,eng,English,"A person of Indian or Middle Eastern descent, based on the perceived surfeit of immigrants driving cabs in the United States.",,N,['MX'],Y,"['Arabs', 'India']",N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Very offensive,2013-10-08 18:26:34,2022-04-05 19:39:05
87,cab niggers,w6qRPnNuT,,,cab nigger,9zoRjLURJ,,,eng,English,"A person of Indian or Middle Eastern descent, based on the perceived surfeit of immigrants driving cabs in the United States.",,N,['MX'],Y,"['Arabs', 'India']",N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Very offensive,2018-11-01 20:33:52,2022-04-05 19:38:55
88,cave nigger,QxtcgaAyw,,,,,,,eng,English,A person of Middle Eastern descent,,N,['MX'],Y,['Arabs'],N,['Islam'],N,['female'],N,['homosexual'],N,Y,N,Extremely offensive,2014-02-24 21:01:20,2022-04-05 19:37:18
89,cave niggers,zqwPbRyyk,,,cave nigger,QxtcgaAyw,,,eng,English,A person of Middle Eastern descent,,N,['MX'],Y,['Arabs'],N,['Islam'],N,['female'],N,['homosexual'],N,Y,N,Extremely offensive,2018-11-01 20:33:54,2022-04-05 19:37:10
90,darkey,mtqcicvxy,darky,dpobaNtLV,,,,,eng,English,"A black person. The term may cause offense. though Randall Kennedy's Nigger: The Strange Career of a Troublesome Word notes that some judges have considered 'darky' a 'term of endearment.' In South Africa, it can be considered offensive (depending on the context), but is commonly used among black people to refer to other black people in a non-derogatory way.",,N,['MX'],Y,['African'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Very offensive,2013-07-18 01:34:47,2022-04-05 19:37:02
